turkish;russian;turkish hint;russian hint
Aralık;декабрь;;
Ağustos;август;;
Cuma;пятница;;
Cumartesi;суббота;;
Ekim;октябрь;;
Eylül;сентябрь;;
Haziran;июнь;;
Kasım;ноябрь;;
Mart;Март;;
Mayıs;май;;
Nisan;апрель;;
Ocak;январь;;
Pazar;воскресенье;;
Pazartesi;понедельник;;
Perşembe;четверг;;
Salı;вторник;;
Temmuz;июль;;
akşam;вечер;;
asla;никогда;;
ay;месяц;;
bahar/ilkbahar;весна;;
bazın;иногда;;
bugün;сегодня;;
dakika;минута;;
doğum tarihi;дата рождения;;
dün;вчера;;
erken;рано;;
gece;ночь;;
gelecek;следующая неделя;;
geçen hafta;прошлая неделя;;
gün;день;;
hafta;неделя;;
hafta sonu;выходные;;
daima/her zaman;всегда/в любой момент;;
kış;зима;;
saat;чам;;
sabah;утро;;
saniye;секунда;;
sonbahar;весна;;
sık sık;часто;;
tarih;дата;;
yarım saat;пол часа;;
yarın;завтра;;
yaz;лето;;
yıl;год;;
zaman;время;;
Çarşamba;среда;;
çeyrek saat;четверть часа;;
öğle;полдень;;
Şubat;февраль;;
şimdi/şuan;сейчас/в этот момент;;
