turkish;russian;turkish hint;russian hint
almak;брать/получать/покупать;;
anlamak;понимать;;
anlatmak;объяснять;;
aramak;звонить/звать;;
ayrılmak;уходить;;
başlamak;начинать;;
beklemek;ждать;;
bilmek;знать;;
bitmek;завершаться/заканчиваться;;
bulmak;найти;;
cevapmak;отвечать;;на вопрос
denemek;пробовать/пытаться;;
değiştirmek;изменять/поменять;;
dinlemek;слушать;;
dinlenmek;отдыхать/расслабиться;;
durmak;останавливаться;;
dönmek;возвращаться;;
düzelmek;чинить/улучшать;;
evlenmek;жениться/выходить замуж;;
eğlenmek;наслаждаться;;
gelmek;приходить;;
getirmek;принести;;
gezmek;гулять/путешествовать/посещать;;
girmek;зайти;;
gitmek;идти;;
giymek;носить;;одежду
göndermek;отправить;;письмо
gülmek;смеяться;;
güneşlenmek;загорать;;
hazırlamak;подготовить;;
incelemek;исследовать;;
istemek;хотеть;;
izlemek/seyretmek;смотреть;;телевизор/фильм
içmek;пить;;
kalkmak;вставать;;
kalmak;оставаться;;
keşmek;стричь/отрезать;;
konuşmak;говорить;;
koşmak;бегать;;
kullanmak;использовать/пользоваться;;
okumak;читать;;
oynamak;играть;;
pişirmek;варить/готовить;;еду
resim yapmak;рисовать;;
satın almak;покупать;;
sevmek;любить;;что-то, кого-то
sormak;спрашивать;;
spor yapmak;заниматься спортом;;
söylemek;сказать;;
sıkılmak;скучать;;
tanışmak;знакомиться;;
temizlemek;убираться;;
uyanmak;просыпаться/пробуждаться;;
uyumak;спать;;
vermek;давать;;
yalan söylemek;лгать/говорить не правду/врать;;
yatmak;ложиться;;
yazmak;писать;;
yaşamak;жить;;
yemek;есть;;еду
yorulmak;уставать;;
yürümek;гулять/ходить/идти;;
yüzmek;плавать;;
yıkamak;мыть/стирать;;
çalışmak;работать;;
çözmek;решать/разгадывать;;
çıkmak;покидать/уходить;;
